,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,5485433,1129-1205,
0,中華民國,美國女孩,2021-12-03T00:00:00,水花電影股份有限公司,"水花電影股份有限公司,寰亞電影製作有限公司,杰威爾音樂有限公司,G.H.Y. Culture & Media (Singapore)",78,25980,0.101594301,6147472,48970,11632905,1206-1212,66005448
1,中華民國,美國女孩,2021-12-03T00:00:00,水花電影股份有限公司,"水花電影股份有限公司,寰亞電影製作有限公司,杰威爾音樂有限公司,G.H.Y. Culture & Media (Singapore)",78,13914,-0.46443418,3298269,62884,14931174,1213-1219,39061776
2,中華民國,美國女孩,2021-12-03T00:00:00,水花電影股份有限公司,"水花電影股份有限公司,寰亞電影製作有限公司,杰威爾音樂有限公司,G.H.Y. Culture & Media (Singapore)",63,6484,-0.533994538,1551712,69368,16482886,1220-1226,25759859
3,中華民國,美國女孩,2021-12-03T00:00:00,水花電影股份有限公司,"水花電影股份有限公司,寰亞電影製作有限公司,杰威爾音樂有限公司,G.H.Y. Culture & Media (Singapore)",63,6484,-0.533994538,1551712,69368,16482886,1220-1226,25759859
4,中華民國,美國女孩,2021-12-03T00:00:00,水花電影股份有限公司,"水花電影股份有限公司,寰亞電影製作有限公司,杰威爾音樂有限公司,G.H.Y. Culture & Media (Singapore)",35,4270,-0.341455891,1000959,73638,17483845,1227-0102,30376928
5,中華民國,美國女孩,2021-12-03T00:00:00,水花電影股份有限公司,"水花電影股份有限公司,寰亞電影製作有限公司,杰威爾音樂有限公司,G.H.Y. Culture & Media (Singapore)",16,2055,-0.518735363,475134,75693,17958979,22_0103-0109,10268653
