,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,824237,1011-1017,
0,中華民國,靈語,2021-05-12T00:00:00,滿滿額娛樂股份有限公司,"滿滿額娛樂股份有限公司,風尚國際文化傳媒股份有限公司,星和製作",53,5978,1,1462680,9465,2286917,1018-1024,2549123
1,中華民國,靈語,2021-05-12T00:00:00,滿滿額娛樂股份有限公司,"滿滿額娛樂股份有限公司,風尚國際文化傳媒股份有限公司,星和製作",53,4730,-0.208765473,1129633,14195,3416550,1025-1031,2261993
2,中華民國,靈語,2021-05-12T00:00:00,滿滿額娛樂股份有限公司,"滿滿額娛樂股份有限公司,風尚國際文化傳媒股份有限公司,星和製作",52,1121,-0.763002114,260536,15316,3677086,1101-1107,7739559
3,中華民國,靈語,2021-05-12T00:00:00,滿滿額娛樂股份有限公司,"滿滿額娛樂股份有限公司,風尚國際文化傳媒股份有限公司,星和製作",22,245,-0.781445138,56930,15561,3734016,1108-1114,5729052
4,中華民國,靈語,2021-05-12T00:00:00,滿滿額娛樂股份有限公司,"滿滿額娛樂股份有限公司,風尚國際文化傳媒股份有限公司,星和製作",3,23,-0.906122449,5200,15584,3739216,1115-1121,8456463
5,中華民國,靈語,2021-05-12T00:00:00,滿滿額娛樂股份有限公司,"滿滿額娛樂股份有限公司,風尚國際文化傳媒股份有限公司,星和製作",1,3,-0.869565217,610,15587,3739826,1122-1128,7746814
