,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,938982,11-15-1121,
0,中華民國,金錢男孩MONEYBOYS,2021-11-19T00:00:00,前景娛樂有限公司,"台北市電影委員會,前景娛樂有限公司,KGP Filmproduktion,Zorba ,Panache Productions,ARTE France Cinéma,La Cie Cinématographique",43,2833,-0.327397911,661336,6764,1600318,1122-1128,7746814
1,中華民國,金錢男孩MONEYBOYS,2021-11-19T00:00:00,前景娛樂有限公司,"台北市電影委員會,前景娛樂有限公司,KGP Filmproduktion,Zorba ,Panache Productions,ARTE France Cinéma,La Cie Cinématographique",37,1007,-0.644546417,224700,7771,1825018,1129-1205,78670840
2,中華民國,金錢男孩MONEYBOYS,2021-11-19T00:00:00,前景娛樂有限公司,"台北市電影委員會,前景娛樂有限公司,KGP Filmproduktion,Zorba ,Panache Productions,ARTE France Cinéma,La Cie Cinématographique",10,486,-0.517378352,83492,8257,1908510,1206-1212,66005448
3,中華民國,金錢男孩MONEYBOYS,2021-11-19T00:00:00,前景娛樂有限公司,"台北市電影委員會,前景娛樂有限公司,KGP Filmproduktion,Zorba ,Panache Productions,ARTE France Cinéma,La Cie Cinématographique",8,179,-0.631687243,36515,8436,1945025,1213-1219,39061776
4,中華民國,金錢男孩MONEYBOYS,2021-11-19T00:00:00,前景娛樂有限公司,"台北市電影委員會,前景娛樂有限公司,KGP Filmproduktion,Zorba ,Panache Productions,ARTE France Cinéma,La Cie Cinématographique",3,29,-0.837988827,7180,8465,1952205,1220-1226,25759859
