,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,363859,1129-1205,
0,中華民國,詭祭,2021-12-03T00:00:00,光譜映像有限公司,"臺北市政府,Lemming Film,THE NETHERLANDS FILM FUND (THE NETHERLANDS FILM PRODUCTION INCENTIVE),台北市電影委員會,財團法人台北市文化基金會,臺北市政府文化局,高雄人",13,1158,-0.198060942,272282,2602,636141,1206-1212,66005448
1,中華民國,詭祭,2021-12-03T00:00:00,光譜映像有限公司,"臺北市政府,Lemming Film,THE NETHERLANDS FILM FUND (THE NETHERLANDS FILM PRODUCTION INCENTIVE),台北市電影委員會,財團法人台北市文化基金會,臺北市政府文化局,高雄人",12,122,-0.894645941,27900,2724,664041,1213-1219,39061776
2,中華民國,詭祭,2021-12-03T00:00:00,光譜映像有限公司,"臺北市政府,Lemming Film,THE NETHERLANDS FILM FUND (THE NETHERLANDS FILM PRODUCTION INCENTIVE),台北市電影委員會,財團法人台北市文化基金會,臺北市政府文化局,高雄人",7,90,-0.262295082,21865,2814,685906,1220-1226,25759859
3,中華民國,詭祭,2021-12-03T00:00:00,光譜映像有限公司,"臺北市政府,Lemming Film,THE NETHERLANDS FILM FUND (THE NETHERLANDS FILM PRODUCTION INCENTIVE),台北市電影委員會,財團法人台北市文化基金會,臺北市政府文化局,高雄人",7,90,-0.262295082,21865,2814,685906,1220-1226,25759859
4,中華民國,詭祭,2021-12-03T00:00:00,光譜映像有限公司,"臺北市政府,Lemming Film,THE NETHERLANDS FILM FUND (THE NETHERLANDS FILM PRODUCTION INCENTIVE),台北市電影委員會,財團法人台北市文化基金會,臺北市政府文化局,高雄人",7,82,-0.088888889,18150,2896,704056,1227-0102,30376928
5,中華民國,詭祭,2021-12-03T00:00:00,光譜映像有限公司,"臺北市政府,Lemming Film,THE NETHERLANDS FILM FUND (THE NETHERLANDS FILM PRODUCTION INCENTIVE),台北市電影委員會,財團法人台北市文化基金會,臺北市政府文化局,高雄人",2,2,-0.975609756,525,2898,704581,22_0103-0109,10268653
