,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,652910,0104-0110,
0,中華民國,迷失安狄,2021-01-08T00:00:00,滿滿額娛樂股份有限公司,滿滿額娛樂股份有限公司##豐采文創有限公司,28,3559,0.028018486,834558,6291,1487468,0111-0117,4516034
1,中華民國,迷失安狄,2021-01-08T00:00:00,滿滿額娛樂股份有限公司,滿滿額娛樂股份有限公司##豐采文創有限公司,27,2389,-0.328744029,583389,8680,2070857,0118-0124,12514112
2,中華民國,迷失安狄,2021-01-08T00:00:00,滿滿額娛樂股份有限公司,滿滿額娛樂股份有限公司##豐采文創有限公司,14,233,-0.902469653,56515,8913,2127372,0125-0131,12402139
3,中華民國,迷失安狄,2021-01-08T00:00:00,滿滿額娛樂股份有限公司,滿滿額娛樂股份有限公司##豐采文創有限公司,5,95,-0.592274678,21900,9008,2149272,0201-0207,17826410
4,中華民國,迷失安狄,2021-01-08T00:00:00,滿滿額娛樂股份有限公司,滿滿額娛樂股份有限公司##豐采文創有限公司,1,150,1,28500,9158,2177772,0215-0221,82808342
