,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,157130,0823-0829,
0,中華民國,邪佞,2021-08-27T00:00:00,車庫娛樂股份有限公司,"萬豐創意映像股份有限公司,頑影映像有限公司",6,318,-0.705282669,50330,1297,207460,0830-0905,495300
1,中華民國,邪佞,2021-08-27T00:00:00,車庫娛樂股份有限公司,"萬豐創意映像股份有限公司,頑影映像有限公司",6,493,0.550314465,78800,1790,286260,0906-0912,221212
2,中華民國,邪佞,2021-08-27T00:00:00,車庫娛樂股份有限公司,"萬豐創意映像股份有限公司,頑影映像有限公司",4,61,-0.876267748,9760,1851,296020,0913-0919,164445
3,中華民國,邪佞,2021-08-27T00:00:00,車庫娛樂股份有限公司,"萬豐創意映像股份有限公司,頑影映像有限公司",2,30,-0.508196721,4800,1881,300820,0920-0926,437538
4,中華民國,邪佞,2021-08-27T00:00:00,車庫娛樂股份有限公司,"萬豐創意映像股份有限公司,頑影映像有限公司",1,1639,53.63333333,262240,3520,563060,0927-1003,530421
5,中華民國,邪佞,2021-08-27T00:00:00,車庫娛樂股份有限公司,"萬豐創意映像股份有限公司,頑影映像有限公司",1,2430,0.482611348,388800,5950,951860,1004-1010,615938
6,中華民國,邪佞,2021-08-27T00:00:00,車庫娛樂股份有限公司,"萬豐創意映像股份有限公司,頑影映像有限公司",1,305,-0.874485597,48800,6255,1000660,1011-1017,1487328
