,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,中華民國,轉彎之後......,2021-05-14T00:00:00,曙光電影有限公司,美亞娛樂發展股份有限公司##良人行影業有限公司##曙光電影有限公司##(大陸)華策影業(天津)有限公司##(香港)驕陽電影有限公司##(香港)種子電影有限公司,19,246,1,58286,595,137310,0712-0725,721016
1,中華民國,轉彎之後......,2021-05-14T00:00:00,曙光電影有限公司,美亞娛樂發展股份有限公司##良人行影業有限公司##曙光電影有限公司##(大陸)華策影業(天津)有限公司##(香港)驕陽電影有限公司##(香港)種子電影有限公司,11,52,-0.48,13046,647,150356,0726-0801,234724
2,中華民國,轉彎之後......,2021-05-14T00:00:00,曙光電影有限公司,美亞娛樂發展股份有限公司##良人行影業有限公司##曙光電影有限公司##(大陸)華策影業(天津)有限公司##(香港)驕陽電影有限公司##(香港)種子電影有限公司,7,13,-0.75,3190,660,153546,0802-0808,136779
