,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,1623347,1115-1127,
0,中華民國,青春弒戀,2021-11-19T00:00:00,長龢有限公司,"風度國際有限公司,中環國際娛樂事業股份有限公司,長龢有限公司,阿榮影業股份有限公司,台北市電影委員會,星泰國際娛樂股份有限公司,菊地健興業有限公司,天使放大股份有限公司,齊石傳播有限公司",58,4766,-0.368992453,1146106,11502,2769453,1122-1128,7746814
1,中華民國,青春弒戀,2021-11-19T00:00:00,長龢有限公司,"風度國際有限公司,中環國際娛樂事業股份有限公司,長龢有限公司,阿榮影業股份有限公司,台北市電影委員會,星泰國際娛樂股份有限公司,菊地健興業有限公司,天使放大股份有限公司,齊石傳播有限公司",53,2212,-0.535879144,531074,13714,3300527,1129-1205,78670840
2,中華民國,青春弒戀,2021-11-19T00:00:00,長龢有限公司,"風度國際有限公司,中環國際娛樂事業股份有限公司,長龢有限公司,阿榮影業股份有限公司,台北市電影委員會,星泰國際娛樂股份有限公司,菊地健興業有限公司,天使放大股份有限公司,齊石傳播有限公司",28,808,-0.634719711,198709,14522,3499236,1206-1212,66005448
3,中華民國,青春弒戀,2021-11-19T00:00:00,長龢有限公司,"風度國際有限公司,中環國際娛樂事業股份有限公司,長龢有限公司,阿榮影業股份有限公司,台北市電影委員會,星泰國際娛樂股份有限公司,菊地健興業有限公司,天使放大股份有限公司,齊石傳播有限公司",19,169,-0.790841584,40417,14691,3539653,1213-1219,39061776
4,中華民國,青春弒戀,2021-11-19T00:00:00,長龢有限公司,"風度國際有限公司,中環國際娛樂事業股份有限公司,長龢有限公司,阿榮影業股份有限公司,台北市電影委員會,星泰國際娛樂股份有限公司,菊地健興業有限公司,天使放大股份有限公司,齊石傳播有限公司",11,37,-0.781065089,9083,14728,3548736,1220-1226,25759859
5,中華民國,青春弒戀,2021-11-19T00:00:00,長龢有限公司,"風度國際有限公司,中環國際娛樂事業股份有限公司,長龢有限公司,阿榮影業股份有限公司,台北市電影委員會,星泰國際娛樂股份有限公司,菊地健興業有限公司,天使放大股份有限公司,齊石傳播有限公司",11,37,-0.781065089,9083,14728,3548736,1220-1226,25759859
6,中華民國,青春弒戀,2021-11-19T00:00:00,長龢有限公司,"風度國際有限公司,中環國際娛樂事業股份有限公司,長龢有限公司,阿榮影業股份有限公司,台北市電影委員會,星泰國際娛樂股份有限公司,菊地健興業有限公司,天使放大股份有限公司,齊石傳播有限公司",4,6,-0.837837838,1500,14734,3550236,1227-0102,30376928
